batch_size,lr,leak_mem,num_steps,num_epochs,training_loss,testing_acc
32,0.2,0.985,5,10,0.0189987500449642,97.0703125
32,0.2,0.98,5,10,0.0171049010027588,97.0703125
32,0.2,0.995,10,10,0.0097669426237165,97.0703125
32,0.2,0.99,10,10,0.0104323452394843,96.875
32,0.2,0.985,10,10,0.0096698501056137,97.8515625
32,0.2,0.98,10,10,0.0121203631023818,97.0703125
32,0.2,0.995,25,10,0.008357773823974,96.6796875
32,0.2,0.99,25,10,0.0088360024750775,96.97265625
32,0.2,0.985,25,10,0.0113853208404519,97.0703125
32,0.2,0.98,25,10,0.0076000935179278,97.36328125
32,0.2,0.995,50,10,0.0124580453651384,95.80078125
32,0.2,0.99,50,10,0.0124343964465272,97.265625
32,0.2,0.985,50,10,0.0118012815987264,96.58203125
32,0.2,0.98,50,10,0.0095505343143352,96.97265625
