batch_size,lr,leak_mem,num_steps,num_epochs,training_loss,testing_acc
128,0.05,0.99,25,10,0.007753348970164856,96.68719959259033
128,0.05,0.985,25,10,0.007943510372191667,96.56700706481934
128,0.05,0.98,25,10,0.007426456576834123,96.56700706481934
128,0.05,0.995,50,10,0.009705620042979717,96.31910991668701
128,0.05,0.99,50,10,0.006468838588645061,96.80739116668701
128,0.05,0.985,50,10,0.008116215769201516,95.83834075927734
128,0.05,0.98,50,10,0.0068990096772710485,96.49188709259033
128,0.05,0.995,5,25,0.010096632671852906,95.42518043518066
128,0.05,0.99,5,25,0.009346359784404438,96.70973491668701
128,0.05,0.985,5,25,0.010448642181853453,95.71063709259033
128,0.05,0.98,5,25,0.009776515625417233,96.01111793518066
128,0.05,0.995,10,25,0.004226669312765201,96.66466331481934
128,0.05,0.99,10,25,0.005642188486953577,96.37169456481934
128,0.05,0.985,10,25,0.004361666773135464,96.64212703704834
128,0.05,0.98,10,25,0.0040924023352563385,96.68719959259033
128,0.05,0.995,25,25,0.0019005251837273438,97.19801616668701
128,0.05,0.99,25,25,0.001692841786891222,97.54356956481934
128,0.05,0.985,25,25,0.0019011242194101215,97.22055244445801
128,0.05,0.98,25,25,0.002162628158306082,96.37169456481934
128,0.05,0.995,50,25,0.0014283393987764915,96.88251209259033
128,0.05,0.99,50,25,0.0014382993898664912,97.29567241668701
128,0.05,0.985,50,25,0.0014542715965459743,97.27313709259033
128,0.05,0.98,50,25,0.001482004631931583,97.19801616668701
128,0.05,0.995,5,50,0.008152241700639327,95.76322078704834
128,0.05,0.99,5,50,0.007794642460842927,95.81580543518066
128,0.05,0.985,5,50,0.007681946887324253,95.63551616668701
128,0.05,0.98,5,50,0.008573669640968243,95.95853328704834
128,0.05,0.995,10,50,0.0034431405595193305,96.64212703704834
128,0.05,0.99,10,50,0.0037351893968880175,96.39423084259033
128,0.05,0.985,10,50,0.0034684977332750957,96.66466331481934
128,0.05,0.98,10,50,0.003479114392151435,96.22145366668701
128,0.05,0.995,25,50,0.0015074733983104428,96.83743953704834
128,0.05,0.99,25,50,0.0016253250585868955,96.64212703704834
128,0.05,0.985,25,50,0.001690827966357271,96.83743953704834
128,0.05,0.98,25,50,0.0017673021067554752,96.88251209259033
128,0.05,0.995,50,50,0.0011127384280165036,97.27313709259033
128,0.05,0.99,50,50,0.0013058426280816396,96.66466331481934
128,0.05,0.985,50,50,0.001373053925887992,96.95763206481934
128,0.05,0.98,50,50,0.001326230611341695,96.66466331481934
128,0.01,0.995,5,5,0.15871475724379222,91.84194660186768
128,0.01,0.99,5,5,0.15452198493480682,93.64483165740967
128,0.01,0.985,5,5,0.15361647740999856,91.91706657409668
128,0.01,0.98,5,5,0.15749310032526653,92.96123790740967
128,0.01,0.995,10,5,0.09756514610846838,93.23167037963867
128,0.01,0.99,10,5,0.09675176759560902,93.93780040740967
128,0.01,0.985,10,5,0.10280111287037531,93.81009578704834
128,0.01,0.98,10,5,0.10051129106680552,93.78755950927734
128,0.01,0.995,25,5,0.040627569178740185,94.50120162963867
128,0.01,0.99,25,5,0.04018452276289463,95.39513206481934
128,0.01,0.985,25,5,0.04460222400228182,94.64393043518066
128,0.01,0.98,25,5,0.043914060513178504,94.78665828704834
128,0.01,0.995,50,5,0.02084725295007229,95.71063709259033
128,0.01,0.99,50,5,0.020491740455230077,95.56790828704834
128,0.01,0.985,50,5,0.023022522668043773,95.56790828704834
128,0.01,0.98,50,5,0.021101804261406263,96.25150203704834
128,0.01,0.995,5,10,0.11663027234872182,92.21003532409668
128,0.01,0.99,5,10,0.12118144263823827,93.20162200927734
128,0.01,0.985,5,10,0.11453023195266723,93.23167037963867
128,0.01,0.98,5,10,0.12458205926418305,93.39693450927734
128,0.01,0.995,10,10,0.07027352132399876,94.37349700927734
128,0.01,0.99,10,10,0.07039165482918422,94.17818450927734
128,0.01,0.985,10,10,0.06769622323910396,94.29837703704834
128,0.01,0.98,10,10,0.06605793552597364,93.62229537963867
128,0.01,0.995,25,10,0.023090745826562245,95.71814918518066
128,0.01,0.99,25,10,0.024593313758571943,95.74068450927734
128,0.01,0.985,25,10,0.02281357318162918,95.07962703704834
128,0.01,0.98,25,10,0.0237906059473753,96.19891834259033
128,0.01,0.995,50,10,0.010159667479495208,95.86087703704834
128,0.01,0.99,50,10,0.011734312996268273,95.61298084259033
128,0.01,0.985,50,10,0.01091442090521256,96.54447078704834
128,0.01,0.98,50,10,0.012016547910869122,95.74068450927734
128,0.01,0.995,5,25,0.03954245393971602,94.44861793518066
128,0.01,0.99,5,25,0.04219535298148791,94.93689918518066
128,0.01,0.985,5,25,0.04061024016141891,95.76322078704834
128,0.01,0.98,5,25,0.04305911187827587,95.03455543518066
128,0.01,0.995,10,25,0.018316788293421267,96.10126209259033
128,0.01,0.99,10,25,0.018838959048191706,95.74068450927734
128,0.01,0.985,10,25,0.018858301455775897,96.22145366668701
128,0.01,0.98,10,25,0.018454157173633575,94.88431453704834
128,0.01,0.995,25,25,0.005900662327806155,96.76231956481934
128,0.01,0.99,25,25,0.005851853931943576,96.15384578704834
128,0.01,0.985,25,25,0.006006688229739666,96.46935081481934
128,0.01,0.98,25,25,0.006169246104856333,96.15384578704834
128,0.01,0.995,50,25,0.003122995980704824,96.85997581481934
128,0.01,0.99,50,25,0.0029012011078496775,96.64212703704834
128,0.01,0.985,50,25,0.0033728088059773046,96.37169456481934
128,0.01,0.98,50,25,0.0034277645678569874,96.42427825927734
128,0.01,0.995,5,50,0.035689747696121536,95.13221168518066
128,0.01,0.99,5,50,0.03579741108417511,94.37349700927734
128,0.01,0.985,5,50,0.034543101554115614,94.93689918518066
128,0.01,0.98,5,50,0.03918638093272845,95.10216331481934
128,0.01,0.995,10,50,0.015133158634106319,95.27493953704834
128,0.01,0.99,10,50,0.016571540440122285,95.76322078704834
128,0.01,0.985,10,50,0.01572351006666819,95.74068450927734
128,0.01,0.98,10,50,0.015195099331438542,96.00360584259033
128,0.01,0.995,25,50,0.005345547072589397,97.10035991668701
128,0.01,0.99,25,50,0.005347966330125928,96.49188709259033
128,0.01,0.985,25,50,0.005050715672473113,96.25150203704834
128,0.01,0.98,25,50,0.005647298955669006,96.03365325927734
128,0.01,0.995,50,50,0.0026017283679296574,96.34915828704834
128,0.01,0.99,50,50,0.0026295870579779146,96.73978328704834
128,0.01,0.985,50,50,0.0028619027299185596,96.13130950927734
128,0.01,0.98,50,50,0.0027699239396800595,96.73978328704834
256,0.2,0.995,5,5,0.05522556822498639,94.32246780395508
256,0.2,0.99,5,5,0.04850692188739777,95.12392234802246
256,0.2,0.985,5,5,0.05100536289811134,94.61543655395508
256,0.2,0.98,5,5,0.05683124591906866,95.00606155395508
256,0.2,0.995,10,5,0.030041664898395538,95.78731155395508
256,0.2,0.99,10,5,0.03434829353292783,95.31923484802246
256,0.2,0.985,10,5,0.02703092378626267,95.99272537231445
256,0.2,0.98,10,5,0.030351973245541255,96.08028030395508
256,0.2,0.995,25,5,0.025613147109746933,96.59886741638184
256,0.2,0.99,25,5,0.018999389802416167,95.99272537231445
256,0.2,0.985,25,5,0.029353975931803385,95.49434280395508
256,0.2,0.98,25,5,0.028432212298115093,95.2788257598877
256,0.2,0.995,50,5,0.03383624664942424,96.19814109802246
256,0.2,0.99,50,5,0.0518914635181427,94.4975757598877
256,0.2,0.985,50,5,0.04059254589676857,95.1811695098877
256,0.2,0.98,50,5,0.054917287687460584,94.89830207824707
256,0.2,0.995,5,10,0.03076237285633882,95.1811695098877
256,0.2,0.99,5,10,0.027385632102688153,96.01292991638184
256,0.2,0.985,5,10,0.02751719433069229,95.32933616638184
256,0.2,0.98,5,10,0.026831958731015522,94.89830207824707
256,0.2,0.995,10,10,0.012296246983110905,95.67955207824707
256,0.2,0.99,10,10,0.011348595147331556,96.80428314208984
256,0.2,0.985,10,10,0.013411913951237996,96.27559280395508
256,0.2,0.98,10,10,0.012136110715568065,96.28569412231445
256,0.2,0.995,25,10,0.010469529795149961,96.17793655395508
256,0.2,0.99,25,10,0.009938456284503142,95.60210037231445
256,0.2,0.985,25,10,0.010962532135347525,95.90517234802246
256,0.2,0.98,25,10,0.008709020058314006,96.10048484802246
256,0.2,0.995,50,10,0.01587422378361225,96.10048484802246
256,0.2,0.99,50,10,0.017451915954550107,95.60210037231445
256,0.2,0.985,50,10,0.027655178864796955,95.19127082824707
256,0.2,0.98,50,10,0.018572031353910765,95.38658332824707
256,0.2,0.995,5,25,0.005978576123714447,95.59199905395508
256,0.2,0.99,5,25,0.005705651210621,96.41365814208984
256,0.2,0.985,5,25,0.005926899953434864,96.18803787231445
256,0.2,0.98,5,25,0.006291049356261889,96.79417991638184
256,0.2,0.995,10,25,0.0030308343718449273,96.91204071044922
256,0.2,0.99,10,25,0.002355984741821885,96.67631912231445
256,0.2,0.985,10,25,0.0025893090621878704,96.40355491638184
256,0.2,0.98,10,25,0.002579683189590772,97.09725189208984
256,0.2,0.995,25,25,0.001809718611650169,96.88173484802246
256,0.2,0.99,25,25,0.0015498974251871307,97.29256439208984
256,0.2,0.985,25,25,0.0017357585666080315,96.99959564208984
256,0.2,0.98,25,25,0.0016896600921948752,96.91204071044922
256,0.2,0.995,50,25,0.0033498778976500036,96.49110984802246
256,0.2,0.99,50,25,0.0024935328339536983,96.79417991638184
256,0.2,0.985,50,25,0.0018185372066994508,96.80428314208984
256,0.2,0.98,50,25,0.002211082359775901,96.69652366638184
